meeting_date,body,case,title
2022-07-12,Windover Heights Board of Review,22-3278,"Request for a Certificate of Appropriateness for New Single Family Detached Dwelling located at 246 Lawyers Rd. NW, per Sec. 18-280.4., Docket No. PF-760130-WHBR, in the RS-16, single-family detached residential zoning district; filed by Melanie Sfreddo, of The Evergreene Companies, LLC, on behalf of Jerome Yurchisin, property owner.

Proposed/Suggested Motion"
2022-06-22,Planning Commission,PC22-182,Discussion of Progress of Comprehensive Plan Subcommittees
2022-06-22,Planning Commission,PC22-180,"Recommendation to the Board of Zoning Appeals to amend an existing conditional use permit for an animal hospital per Sections 18-74.E and 18-210.P, for Hope Advanced Veterinary Center, located at 140 Park Street SE, in the C-1, Local Commercial zone."
2022-06-16,Board of Architectural Review,BAR22-333,126 Branch Rd SE - Massage Envy - Sign
2022-06-16,Board of Architectural Review,BAR22-332,252 Maple Ave W - Shell Gas Station - Signs
2022-06-16,Board of Architectural Review,BAR22-331,527 Maple Ave E - VHC Health Physicians - Sign
2022-06-16,Board of Architectural Review,BAR22-330,434 Maple Ave E - Diane T. Salon - Sign
2022-06-16,Board of Architectural Review,BAR22-329,438 Maple Ave E - Long and Foster - Sign
2022-06-16,Board of Architectural Review,BAR22-328,110 Market Sq NW - Solar Panels
2022-06-16,Board of Architectural Review,BAR22-327,374 Maple Ave W - Sunrise Senior Living - Exterior Modification Revision
2022-06-07,Windover Heights Board of Review,22-3190,Electronic Participation Resolution for Windover Heights Board of Review
2022-06-07,Windover Heights Board of Review,22-3189,"Request for a Certificate of Appropriateness for a New Single-Family Detached Dwelling located at 246 Lawyers Rd. NW, per Sec. 18-280.4., Docket No. PF-760130-WHBR, in the RS-16, single-family detached residential zoning district; filed by Melanie Sfreddo, of The Evergreene Companies, LLC, on behalf of Jerome Yurchisin, property owner."
2022-05-19,Board of Architectural Review,BAR22-326,122 Branch Rd SE - Nozzo Pazzo - Signs
2022-05-19,Board of Architectural Review,BAR22-325,517 Maple Ave W - Hair by DV - Signs
2022-05-19,Board of Architectural Review,BAR22-324,142 Branch Rd SE - Big Buns - Exterior Modification
2022-05-19,Board of Architectural Review,BAR22-323,258 Maple Ave E - Smoothie King - Exterior Modification
2022-05-19,Board of Architectural Review,BAR22-322,150 Branch Rd SE - Danor Plaza - Signs
2022-05-19,Board of Architectural Review,BAR22-321,418 Maple Ave E - Cava - Signs
2022-05-19,Board of Architectural Review,BAR22-320,361 Maple Ave W - Sampson Properties - Signs
2022-05-19,Board of Architectural Review,BAR22-319,300 Center St - Water Field - Exterior Modification
2022-05-19,Board of Architectural Review,BAR22-318,374 Maple Ave W - Sunrise Senior Living - Signs
2022-05-19,Board of Architectural Review,BAR22-317,374 Maple Ave W - Sunrise Senior Living - Revised Exterior Modification
2022-05-19,Board of Architectural Review,BAR22-316,101 Maple Ave E - Patrick Henry Library - Exterior Modification
2022-05-19,Board of Architectural Review,BAR22-315,226 Maple Ave W - Burapa Thai & Bar - Signs
2022-05-19,Board of Architectural Review,BAR22-314,107 Maple Ave W - Donutchew - Signs
2022-05-18,Board of Zoning Appeals,BZA-22081,"374 Maple Ave E - Request for approval to amend a conditional use permit per Section § 18-209. to remove three (3) existing cell antennas and equipment including stealth flagpole and install nine (9) new cell antennas, equipment, and screen wall on the roof of the existing building located at 374 Maple Ave E, located in the C-1A, Special Commercial zone."
2022-05-18,Board of Zoning Appeals,BZA-22080,"142 Branch Rd SE- Request for approval of a conditional use permit per Section(s) § 18-74., 18-210. and 18-209.  of the Vienna Town Code for outdoor seating for Big Buns restaurant, located at 142 Branch Rd SE, in the C-2, General Commercial, C-1A, Special Commercial and RS-10, Single Family Detached Residential zones."
2022-05-11,Planning Commission Work Session,PCWS22-119,"Work Session on proposed amendments to conditional use permit for Green Hedges School, located at 415 Windover Avenue NW in the RS-12.5 Single-Family Detached Residential zoning district, related to changes to school site with potential new buildings and expansion of existing buildings"
2022-05-11,Planning Commission,PC22-178,"Joint Public Hearing with the Planning Commission on May 11, 2022 for Text Amendments Related to Outdoor Dining in Sections 18-72, 18-74, and 18-210."
2022-04-27,Planning Commission Work Session,PCWS22-118,"Work session on consideration of a zoning ordinance text amendment related to outdoor dining, regulated in Section 18-72, Section 18-74, and Section 18-210 of Chapter 18 of the Town Code."
2022-04-27,Planning Commission,PC22-177,"Recommendation by the Planning Commission to the Board of Zoning Appeals for a conditional use permit for outdoor seating for Big Buns restaurant, located at 142 Branch Rd SE, in the C-2, General Commercial, C-1A, Special Commercial and RS-10, Single Family Detached Residential zones. Application filed by Dan Kiser of X-Pediters Plus Inc, representative for Big Buns."
2022-04-27,Planning Commission,PC22-176,"Recommendation by the Planning Commission to the Board of Zoning Appeals to amend a conditional use permit to remove three (3) existing cell antennas and equipment including stealth flagpole and install nine (9) new cell antennas, equipment, and screen wall on the roof of the existing building located at 374 Maple Ave E, located in the C-1A, Special Commercial zone. Application filed by Katherine Blackwood of Network Building + Consulting representative for Sprint."
2022-04-21,Board of Architectural Review,BAR22-311,377 Maple Ave W- The Maple Room- Exterior Modification/ Signs
2022-04-21,Board of Architectural Review,BAR22-310,101 Maple Ave E- Patrick Henry Library- Mural *Application Withdrawn by Applicant*
2022-04-21,Board of Architectural Review,BAR22-309,625 Marshall Rd SW- Vienna Aquatics- Exterior Modifications
2022-04-21,Board of Architectural Review,BAR22-308,374 Maple Ave E- Sprint- Exterior Modification
2022-04-21,Board of Architectural Review,BAR22-307,226 Maple Ave W Ste 100- Burapa Thai and Bar LLC- Sign
2022-04-21,Board of Architectural Review,BAR22-306,513 Maple Ave W- Coco Soda Sweets- Sign
2022-04-21,Board of Architectural Review,BAR22-305,107 Maple Ave W- Donutchew- Signs
2022-04-21,Board of Architectural Review,BAR22-304,512 Maple Ave W- Alma Beauty- Signs
2022-04-21,Board of Architectural Review,BAR22-302,322 Maple Ave W- F45- Signs
2022-04-21,Board of Architectural Review,BAR22-299,512 Maple Ave W - Galaxy Dancer Center - New Sign
2022-04-20,Board of Zoning Appeals,BZA-22079,"324 Nutley St NW- Louise Archer Middle School request for Conditional use permit for renovation and expansion of Louise Archer Elementary School, to include temporary construction classrooms during construction, located at 324 Nutley Street NW, in the RS-12.5 Single-family Detached Residential Zone"
2022-04-13,Board of Architectural Review Work Session,BAR22-311,377 Maple Ave W- The Maple Room- Exterior Modification/ Signs
2022-03-30,Planning Commission Work Session,PCWS22-117,"6:45 - 7:45 pm CODE CREATE Vienna: Discuss Article 3, Multi-Unit and Non-Residential Uses"
2022-03-30,Planning Commission Work Session,PCWS22-116,"7:45 - 8:45 pm CODE CREATE Vienna: Discuss Article 5, Multi-Unit and Non-Residential Development Standards"
2022-03-30,Planning Commission Work Session,PCWS22-115,6:30 - 6:45 pm CODE CREATE Vienna: Introduction and Overview
2022-03-30,Planning Commission Work Session,PCWS22-114,9:15 - 9:30 pm CODE CREATE Vienna: Discuss Next Steps
2022-03-30,Planning Commission Work Session,PCWS22-113,8:45 - 9:15 pm CODE CREATE Vienna: Discuss Parking Memo
2022-03-30,Board of Architectural Review Work Session,BARWS22-060,377 Maple Ave W - The Maple Room - Exterior Modifications
2022-03-30,Board of Architectural Review Work Session,BARWS22-060,377 Maple Ave W - The Maple Room - Exterior Modifications
2022-03-23,Planning Commission,PC22-175,"Recommendation to Town Council on final plat for 2-lot re-subdivision of 2 existing lots, located at 841 Ninovan Road SE, in the RS-10 Single-Family Detached Residential ZonE"
2022-03-17,Board of Architectural Review,BAR22-301,320 Maple Ave E Ste E- Cora Homes - New Sign
2022-03-17,Board of Architectural Review,BAR22-300,322 Maple Ave W - F45 - Signs
2022-03-17,Board of Architectural Review,BAR22-299,512 Maple Ave W - Galaxy Dancer Center - New Sign
2022-03-17,Board of Architectural Review,BAR22-298,117 Courthouse Rd SW - Exterior Modifications - Courthouse Cottages
2022-03-16,Board of Zoning Appeals,BZA-22076,377 Maple Ave W - The Maple Room - Conditional Use Permit - Outdoor Seating
2022-03-16,Board of Zoning Appeals,BZA-22075,"Public Hearing for Consideration of Request for Conditional Use Permit for School Use related to Renovation and Expansion of Louise Archer Elementary School, Located at 324 Nutley Street NW, in the RS-12.5 Single-Family Detached Residential Zoning District	

**This agenda items will NOT be heard at the Wednesday March 16, 2022, Board of Zoning Appeals meeting.  It will be re-scheduled to be heard at a later date. **"
2022-03-11,Board of Architectural Review Work Session,BARWS22-059,501 Maple Ave W - Yellow Diner - Exterior Modifications
2022-03-01,Board of Architectural Review Work Session,BARWS22-058,117 Courthouse Rd SW - Courthouse Cottages - Exterior Modifications
2022-02-23,Planning Commission,PC22-173,"Recommendation by the Planning Commission to the Town Council for modifications of requirement related to required parking in the C-1A, Special Commercial zone on property located at 301 Maple Avenue, West. Application filed by Kim Luu-Tu of White Oak Tower Office Condominium Association."
2022-02-23,Planning Commission,PC22-172,"Recommendation by the Planning Commission to the Board of Zoning Appeals for conditional use permit for outdoor seating for Maple Room restaurant, located at 377 Maple Avenue West, in the C-1, Local Commercial zone. Application filed by John Gaston, Paramount Construction Services, on behalf of Sarantis Properties, owner."
2022-02-23,Planning Commission,PC22-169,"Recommendation of the Planning Commission to Town Council for site plan modifications of requirements related to Renovation and Expansion of Louise Archer Elementary School, located at 324 Nutley Street NW. Application filed by John Cummings of Rinker Design Associates, PC on behalf of Fairfax County Public Schools, owner."
2022-02-23,Planning Commission,PC22-168,"Recommendation of the Planning Commission to the Board of Zoning Appeals for Conditional Use Permit for Renovation and Expansion of Louise Archer Elementary School, located at 324 Nutley Street NW, in the RS-12.5, Single-Family Detached Residential zone. Application Filed by John Cummings of Rinker Design Associates, PC on behalf of Fairfax County Public Schools, owners."
2022-02-17,Board of Architectural Review,BAR22-296,410 Maple Ave E - Vienna Gas & Auto Care - Exterior Modification
2022-02-17,Board of Architectural Review,BAR22-295,100 Maple Ave E - Somerset Trust - Exterior Modifications and Sign
2022-02-17,Board of Architectural Review,BAR22-294,212-218 Locust St SE - Park Terrace Condominiums - Exterior Modification
2022-02-17,Board of Architectural Review,BAR22-293,1001 Park St SE - Cunningham Park Elementary School - Exterior Modification
2022-02-17,Board of Architectural Review,BAR22-292,155 B Maple Ave W - Bubble Mochi - Signs
2022-02-17,Board of Architectural Review,BAR22-291,106 Lawyers Rd NW - 29th Parallel - Sign
2022-02-17,Board of Architectural Review,BAR22-290,354 Maple Ave W - Tobacco Hut - Signs
2022-02-17,Board of Architectural Review,BAR22-289,324 Nutley St NW - Louise Archer Elementary School - Exterior Modifications
2022-02-17,Board of Architectural Review,BAR22-288,431 Maple Ave W - Removary Tattoo - Sign
2022-02-11,Board of Architectural Review Work Session,BARWS22-057,"374 Maple Ave E - Sprint - Exterior Modifications:  Antenna screening, new antennas."
2022-02-09,Planning Commission,PC22-167,Public Hearing on Recommendation to Town Council on Proposed Medical Testing Zoning Text Amendment
2022-01-26,Planning Commission Work Session,PCWS22-112,CODE CREATE VIENNA - Review and Discussion of Articles 3 & 4 related to Single-Unit Residential Standards and Uses
2022-01-20,Board of Architectural Review,BAR22-287,Board of Architectural Review - Electronic Participation Policy Resolution
2022-01-20,Board of Architectural Review,BAR22-286,431 Maple Ave W - Removery Tattoo - Sign
2022-01-20,Board of Architectural Review,BAR22-285,360 Maple Ave W - RX Wellness - Sign
2022-01-20,Board of Architectural Review,BAR22-284,315 Maple Ave E - Chase Bank - Exterior Modifications
2022-01-19,Board of Zoning Appeals,BZA-22074,"543 Beulah Rd NE - Request approval of a conditional use permit from Section §18-22, §18-13.A, and §18-210 of the Vienna Town Code for a hypothermia shelter, as part of operations of a church."
2022-01-12,Planning Commission,PC22-166,Consideration of Draft 2021 Annual Report
2022-01-12,Planning Commission,PC22-165,"Recommendation to Board of Zoning Appeals for a conditional use permit for a hypothermia shelter, as part of operations of a church"
2021-12-29,Board of Architectural Review Work Session,BARWS22-056,415 Church St NE - Carient Heart & Vascular
2021-12-29,Board of Architectural Review Work Session,BARWS22-055,"Resolution for Continuity of Government - December 29, 2021"
2021-12-16,Board of Architectural Review,BAR21-283,315 Maple Ave E - Exterior Modifications & Signage - Chase Bank
2021-12-16,Board of Architectural Review,BAR21-282,142 Branch Rd SE - Sign Revision - Big Buns
2021-12-16,Board of Architectural Review,BAR21-281,"Resolution for Continuity of Government - December 16, 2021"
2021-12-15,Board of Zoning Appeals,BZA-21073,"Resolution for Continuity of Government - December 15, 2021"
2021-12-15,Board of Zoning Appeals,BZA-21072,315 Maple Ave E - Conditional Use Permit - Drive Through Facility
2021-12-14,Board of Architectural Review Work Session,BARWS21-054,"Resolution for Continuity of Government - December 16, 2021"
2021-12-14,Board of Architectural Review Work Session,BARWS21-053,324 Nutley St NW - Louise Archer ES
2021-12-08,Planning Commission Work Session,PCWS21-111,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Land Use and Economic Development
2021-12-08,Planning Commission,PC21-164,Resolution for Continuity of Government
2021-12-08,Planning Commission,PC21-163,"Public Hearing on Recommendations to Town Council for Request of a Zoning Ordinance Text Amendment for Sections 18-15 and 18-168, Related to Lot Coverage and Porch Projections into the Front Yard"
2021-12-08,Planning Commission,PC21-163,"Public Hearing on Recommendations to Town Council for Request of a Zoning Ordinance Text Amendment for Sections 18-15 and 18-168, Related to Lot Coverage and Porch Projections into the Front Yard"
2021-11-18,Board of Architectural Review,BAR21-280,"Continuity of Government - November 18, 2021"
2021-11-18,Board of Architectural Review,BAR21-278,222 Maple Ave W - Subway - Sign
2021-11-18,Board of Architectural Review,BAR21-277,142 Branch Rd SE - Big Buns - Signs
2021-11-18,Board of Architectural Review,BAR21-276,136 Maple Ave W - Asurion - Signs
2021-11-18,Board of Architectural Review,BAR21-275,436-438 Maple Ave E - Wolftrappe Shops - Exterior Modifications
2021-11-18,Board of Architectural Review,BAR21-274,435 Maple Ave W - Hawk & Griffin - Exterior Modifications
2021-11-18,Board of Architectural Review,BAR21-273,211 Mill St NE - Dulles Kitchen & Bath - Exterior Modification
2021-11-10,Planning Commission,PC21-162,Resolution for Continuity of Government
2021-11-10,Planning Commission,PC21-161,"Public Hearing on Recommendations to Town Council for Request of a Zoning Ordinance Text Amendment for Sections 18-15 and 18-168, Related to Lot Coverage and Porch Projections into the Front Yard"
2021-11-09,Board of Architectural Review Work Session,BARWS21-052,117 Courthouse Rd SW - Courthouse Cottages - Exterior Modification
2021-11-09,Board of Architectural Review Work Session,BARWS21-051,"Continuity of Government - Board of Architectural Review Work Session - Nov 9, 2021"
2021-11-03,Planning Commission,PC21-159,Resolution for Continuity of Government.
2021-11-03,Planning Commission,PC21-158,"Public hearing on recommendation to Town Council for request for a zoning ordinance text amendment for Section 18-72 and Section 18-210, related to the allowance of outdoor dining"
2021-10-21,Board of Architectural Review,BAR21-272,430 - 444 Maple Ave W - 444 Maple (MAC Development) - Exterior Modifications
2021-10-21,Board of Architectural Review,BAR21-271,131 Maple Ave W - Royal Nepal Bistro - Signs
2021-10-21,Board of Architectural Review,BAR21-270,320 Maple Ave W - Yama Chen - Sign
2021-10-21,Board of Architectural Review,BAR21-269,436-438 Maple Ave E - Wolfetrappe Shops - Signs and Exterior Modification
2021-10-21,Board of Architectural Review,BAR21-268,410 Maple Ave E - Vienna Gas and Auto - Exterior Modification
2021-10-21,Board of Architectural Review,BAR21-267,402 Maple Ave W - Expressions Music Academy - Sign & Exterior Modification
2021-10-21,Board of Architectural Review,BAR21-266,211 Mill St NE - Dulles Kitchen & Bath - Sign & Exterior Modification
2021-10-21,Board of Architectural Review,BAR21-265,"October 21, 2021 - BAR Continuity of Government"
2021-10-20,Board of Zoning Appeals,BZA-21071,124 Park St NE - Conditional Use Permit: Hypothermia Shelter
2021-10-20,Board of Zoning Appeals,BZA-21070,"Continuity of Government - October 20, 2021"
2021-10-19,Board of Architectural Review Work Session,BARWS21-050,324 Nutley St NW - Louise Archer Elementary School - Exterior Modification
2021-10-19,Board of Architectural Review Work Session,BARWS21-049,Resolution for Continuity of Government
2021-10-13,Planning Commission Work Session,PCWS21-107,"Work session on potential rezoning of 127-133 Park Street NE (Vienna Courts Condos) from T Transitional Zone to RM-2 Multi-Family, Low Density Zone"
2021-10-13,Planning Commission Work Session,PCWS21-106,Resolution for Continuity of Government.
2021-10-13,Planning Commission Work Session,PCWS21-105,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Environment & Sustainability and Parks & Recreation
2021-10-13,Planning Commission Work Session,PCWS21-104,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Transportation and Community Facilities
2021-10-13,Planning Commission Work Session,PCWS21-103,"Work session on consideration of a zoning ordinance text amendment for Section 18-72 and Section 18-210, related to the allowance of outdoor dining"
2021-09-22,Planning Commission,PC21-154,Resolution for Continuity of Government
2021-09-22,Planning Commission,PC21-153,"Recommendation to the Board of Zoning Appeals for a conditional use permit for the re-approval of an annual one to two week-long Hypothermia Shelter operated in partnership with Fairfax County staff, beginning February 2022, and situated within the Vienna Presbyterian Church on property located at 124 Park Street NE, within the RS-12.5, Single-Family Detached Residential, C-1B, Pedestrian Commercial, C-1A, Special Commercial and C-2, General Commercial zones."
2021-09-21,Board of Architectural Review Work Session,BARWS21-048,444 Maple Ave W - Exterior Modification - Mixed Use
2021-09-21,Board of Architectural Review Work Session,BARWS21-047,"Resolution for Continuity of Government - September 21, 2021"
2021-09-16,Board of Architectural Review,BAR21-264,211Center St S. - Bowman House - Roof Color Revision
2021-09-16,Board of Architectural Review,BAR21-263,215 Center St S. - Vienna Police Dept - Roof Color Revision
2021-09-16,Board of Architectural Review,BAR21-262,140 Church St NW - Trace - the Zero Waste Store - Sign
2021-09-16,Board of Architectural Review,BAR21-261,415 Windover Ave NW - Green Hedges School - Exterior Modification (fence)
2021-09-16,Board of Architectural Review,BAR21-260,"110 Pleasant St NW Unit C - Achikian Goldsmiths, Inc.- Sign"
2021-09-16,Board of Architectural Review,BAR21-259,100 Maple Ave E - Park Brothers LLC - Exterior Modification (fence)
2021-09-16,Board of Architectural Review,BAR21-258,448 Maple Ave E - Madeline Proust Baker - Sign
2021-09-16,Board of Architectural Review,BAR21-257,"Board of Architectural Review - Continuity of Government Sept 16, 2021"
2021-09-14,Board of Zoning Appeals,BZA-21068,BZA  - Board Member Electronic Participation Discussion
2021-09-14,Board of Zoning Appeals,BZA-21067,"Applicant requests deferral of public hearing for request for a conditional use permit for a drive-through facility for Chase Bank on property located at 315 Maple Avenue East, in the C-2 General Commercial zone. Application filed by Michelle Rosati of Holland and Knight on behalf of Chase Bank"
2021-09-14,Board of Zoning Appeals,BZA-21066,100 Ayr Hill Ave NE (301 Center St N) - Child Day Center
2021-09-14,Board of Zoning Appeals,BZA-21065,"BZA Resolution for Continuity of Government - September 14, 2021"
2021-09-14,Board of Zoning Appeals,BZA-21064,1001 Mountfort Ct SW - Request for a Variance
2021-09-14,Board of Zoning Appeals,BZA-21063,131 Wilmar Pl NW - Request for a Variance
2021-09-14,Board of Zoning Appeals,BZA-21062,205 James Dr SW - Request for a Variance.
2021-09-08,Planning Commission Work Session,PCWS21-102,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Transportation and Community Facilities
2021-08-31,Planning Commission Work Session,PCWS21-096,8:50 - 9:00 pm CODE CREATE Vienna:  Next Steps
2021-08-31,Planning Commission Work Session,PCWS21-095,8:00 - 8:50 pm CODE CREATE Vienna:  General Overview of Article 5 - Development Standards Non-Residential and Discussion of Parking Memos
2021-08-31,Planning Commission Work Session,PCWS21-094,7:00 - 7:50 pm CODE CREATE Vienna:  Review and Discussion of Article 3 - Uses and Use Standards
2021-08-31,Planning Commission Work Session,PCWS21-093,"6:10 - 7:00 pm CODE CREATE Vienna:  Review and Discussion of Article 2 - Non-Residential Zones, Districts and Dimensional Standards"
2021-08-31,Planning Commission Work Session,PCWS21-092,6:00 - 6:10 pm CODE CREATE Vienna:  Introduction and Overview
2021-08-27,Board of Architectural Review Work Session,BARWS21-044,374 Maple Ave W - Exterior Modifications
2021-08-27,Board of Architectural Review Work Session,BARWS21-043,Board of Architectural - Continuity of Government
2021-08-25,Planning Commission,PC21-152,Resolution for continuity of government
2021-08-25,Planning Commission,PC21-151,"Recommendation to the Town Council for site plan modifications of requirements related to RM-2 Multifamily, Low Density rezoning request, located at 117-121 Courthouse Road SW, for lot coverage, front yard setback, rear yard setback, and minimum lot area requirements."
2021-08-25,Planning Commission,PC21-150,"Public hearing on a requested change to the zoning map for three parcels, located at 117 Courthouse Road SW (Parcel # 0384 02 0032A), 119 Courthouse Road SW (Parcel # 0384 02 0057A) , and 121 Courthouse Road SW (Parcel # 0384 02 0057B) in the RS-10 Single-Family Detached Residential zoning district. Requested zoning is RM-2 Multifamily, Low Density"
2021-08-25,Planning Commission,PC21-149,"Recommendation to Board of Zoning Appeals for request of conditional use permit for a child day center (referred to as nursery and kindergarten schools, private in Town Code), located at Vienna Assembly of god church at 100 Ayr Hill Avenue NE (also addressed as 301 Center Street North)"
2021-08-25,Planning Commission,PC21-147,"Recommendation to Board of Zoning Appeals for request of conditional use permit for a two-Lane drive-through ATM facility located at 315 Maple Avenue East, associated with proposed new Chase Bank Building"
2021-08-19,Board of Architectural Review Work Session,BARWS21-042,315 Maple Ave E - Chase Bank - Exterior Modifications
2021-08-19,Board of Architectural Review Work Session,BARWS21-041,Board of Architectural Review - Continuity of Government
2021-08-19,Board of Architectural Review,BAR21-256,200 Maple Ave E -Chit Chat Café (Mobil Gas) - Signs
2021-08-19,Board of Architectural Review,BAR21-255,131 Patrick St SE (260-280 Cedar Ln SE) - Cedar Park Shopping Center - Exterior Modifications
2021-08-19,Board of Architectural Review,BAR21-254,410 Maple Ave E - Vienna Gas & Auto - Signs
2021-08-19,Board of Architectural Review,BAR21-253,140 Church St NW - Trace - the Zero Waste Store - Sign
2021-08-19,Board of Architectural Review,BAR21-252,100 Maple Ave E - Somerset Trust - Signs
2021-08-19,Board of Architectural Review,BAR21-251,515 Maple Ave E - Truist Bank - Signs
2021-08-19,Board of Architectural Review,BAR21-250,215 Center St S - Vienna Police Station - Fence
2021-08-19,Board of Architectural Review,BAR21-249,435 Maple Ave W - Chahel Automotive - Sign
2021-08-19,Board of Architectural Review,BAR21-248,211 Mill St NE - Dulles Kitchen and Bath - Sign
2021-08-19,Board of Architectural Review,BAR21-247,Board of Architectural Review - Continuity of Government
2021-08-17,Board of Architectural Review Work Session,BARWS21-040,444 Maple Ave W - Exterior Modifications - Mixed-Use
2021-08-17,Board of Architectural Review Work Session,BARWS21-039,Board of Architectural Review - Continuity of Government
2021-08-11,Planning Commission Work Session,PCWS21-088,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - TRANSPORTATION & COMMUNITY FACILITIES
2021-08-11,Planning Commission,PC21-148,Election of Officers for vice chair
2021-08-11,Planning Commission,PC21-146,Update of Electronic Participation Resolution for Planning Commission
2021-08-11,Planning Commission,PC21-145,Amend Planning Commission Bylaws & Rules of Procedures
2021-08-11,Planning Commission,PC21-144,Resolution for Continuity of Government
2021-07-21,Board of Zoning Appeals,BZA-21060,1001 Mountfort Ct SW - Request for a Variance
2021-07-21,Board of Zoning Appeals,BZA-21059,131 Wilmar Pl NW - Request for a Variance
2021-07-21,Board of Zoning Appeals,BZA-21058,205 James Dr SW - Request for a Variance.
2021-07-21,Board of Zoning Appeals,BZA-21057,305 Jade Ct NW - Request for a Conditional Use Permit
2021-07-21,Board of Zoning Appeals,BZA-21056,"BZA Resolution for Continuity of Government - July 21, 2021"
2021-07-15,Board of Architectural Review,BAR21-246,444 Maple Ave W - Exterior Modification
2021-07-15,Board of Architectural Review,BAR21-245,300 Mill St NE - CubeSmart - Signs
2021-07-15,Board of Architectural Review,BAR21-244,435 Maple Ave W - Chahel Automotive - Sign
2021-07-15,Board of Architectural Review,BAR21-243,211 Mill St  NE - Dulles Kitchen and Bath - Sign
2021-07-15,Board of Architectural Review,BAR21-242,"Board of Architectural Review - July 15, 2021 Continuity of Government"
2021-06-23,Planning Commission Work Session,PCWS21-087,Resolution for Continuity of Government
2021-06-23,Planning Commission Work Session,PCWS21-086,Work Session to discuss Planning Commission Bylaws and Rules of Procedure
2021-06-23,Planning Commission,PC21-142,Resolution for Continuity of Government
2021-06-23,Planning Commission,PC21-141,"Recommendation to the Board of Zoning Appeals for renewal of a conditional use permit for a Family Day Home for up to twelve (12) children on property located at 305 Jade Court NW, in the RS-12.5, Single Family Detached Residential zone. Application filed by Zeinab Salem, business owner of Zeinab Home Daycare."
2021-06-17,Board of Architectural Review,BAR21-241,333 Maple Ave E - Sign - Amity Nail Spa
2021-06-17,Board of Architectural Review,BAR21-240,800 Maple Ave E - Exterior Modification - Westwood Country Club
2021-06-17,Board of Architectural Review,BAR21-239,211 Mill St NE - Sign - Dulles Kitchen and Bath
2021-06-17,Board of Architectural Review,BAR21-238,301 Maple Ave W - Exterior Modification
2021-06-17,Board of Architectural Review,BAR21-237,396 Maple Ave E - Sign - Monarch Custom Homes
2021-06-17,Board of Architectural Review,BAR21-236,804 Tapawingo Rd SW - Exterior Modification
2021-06-17,Board of Architectural Review,BAR21-235,211 Center St S.- Exterior Modification - Bowman House
2021-06-17,Board of Architectural Review,BAR21-234,245 Maple Ave W - Exterior Modification Revision - Vienna Market
2021-06-17,Board of Architectural Review,BAR21-233,Board of Architectural Review - Continuity of Government
2021-06-09,Planning Commission Work Session,PCWS21-085,Resolution for Continuity of Government. Comprehensive Plan Amendment Subcommittee Work Session - Environment & Sustainability and Parks & Recreation
2021-06-09,Planning Commission Work Session,PCWS21-083,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Land Use & Economic Development
2021-05-26,Planning Commission Work Session,PCWS21-081,Work Session Resolution for Continuity of Government
2021-05-26,Planning Commission Work Session,PCWS21-080,Planning Commission Work Session on CODE CREATE Vienna
2021-05-19,Board of Zoning Appeals,BZA-21055,124 Park St SE - Conditional Use Permit
2021-05-19,Board of Zoning Appeals,BZA-21054,416 Council Dr NE -
2021-05-19,Board of Zoning Appeals,BZA-21053,"BZA - Resolution for Continuity of Government - May 19, 2021"
2021-05-12,Planning Commission Work Session,PCWS21-079,Work Session Discussion with Supervisor Walter L. Alcorn of Fairfax County’s Hunter Mill District
2021-05-12,Planning Commission Work Session,PCWS21-078,Work Session Resolution for Continuity of Government
2021-05-12,Planning Commission Work Session,PCWS21-078,Work Session Resolution for Continuity of Government
2021-05-12,Planning Commission,PC21-140,Resolution for Continuity of Government
2021-05-12,Planning Commission,PC21-139,"Recommendation to the Board of Zoning Appeals for a conditional use permit to establish an animal hospital at a commercial tenant space located at 124 Park Street, SE Unit 100, in the C-1 Local Commercial zone."
2021-04-28,Planning Commission Work Session,PCWS21-077,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Land Use & Economic Development
2021-04-28,Planning Commission Work Session,PCWS21-076,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Environment and Sustainability/Parks and Recreation
2021-04-28,Planning Commission Work Session,PCWS21-075,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Transportation and Community Facilities
2021-04-21,Board of Zoning Appeals,BZA-21052,416 Council Dr NE - Request for a Variance
2021-04-21,Board of Zoning Appeals,BZA-21051,"BZA Resolution for Continuity of Government - April 21, 2021"
2021-04-15,Board of Architectural Review,BAR21-231,337 Maple Ave E- Sign
2021-04-15,Board of Architectural Review,BAR21-230,223 Mill St NE- Exterior Modification
2021-04-15,Board of Architectural Review,BAR21-229,301 Maple Ave W - Sign
2021-04-15,Board of Architectural Review,BAR21-228,416 Council Dr. NE - Exterior Modification
2021-04-15,Board of Architectural Review,BAR21-227,Board of Architectural Review - Continuity of Government
2021-04-14,Planning Commission Work Session,PCWS21-074,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Land Use & Economic Development
